ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,history
2026-02-11T11:55:00Z,10.20.44.22,58412,13.107.42.12,80,tcp,smb,9.836,385,31519,SF,ShADadf
2026-02-11T11:00:00Z,10.20.44.22,41378,13.107.42.12,80,tcp,smb,10.196,1741,1767,SF,ShADadf
2026-02-11T08:19:00Z,10.20.44.33,41861,10.3.0.1,80,tcp,ssl,18.391,4428,58434,SF,ShADadf
2026-02-11T10:34:00Z,10.20.44.10,45964,10.3.0.1,53,tcp,ssl,16.271,173,78937,SF,ShADadf
2026-02-11T12:30:00Z,10.20.44.33,43747,151.101.1.69,80,tcp,ssl,10.059,4020,9408,SF,ShADadf
2026-02-11T11:22:00Z,10.20.44.33,44597,10.3.0.1,445,tcp,smb,1.235,1702,23088,SF,ShADadf
2026-02-11T10:11:00Z,10.20.44.22,41835,151.101.1.69,53,tcp,smb,12.050,3510,17160,SF,ShADadf
2026-02-11T09:48:00Z,10.20.51.9,45554,151.101.1.69,88,tcp,http,12.672,2747,71175,SF,ShADadf
2026-02-11T10:27:00Z,10.20.44.33,44474,13.107.42.12,53,tcp,http,7.597,4579,46924,SF,ShADadf
2026-02-11T12:05:00Z,10.20.51.9,46704,198.18.20.14,445,tcp,dns,12.847,2141,44976,SF,ShADadf
2026-02-11T12:28:00Z,10.20.44.10,57173,10.3.0.1,443,tcp,ssl,2.953,1844,62186,SF,ShADadf
2026-02-11T07:28:00Z,10.20.51.9,58495,151.101.1.69,88,tcp,dns,6.414,612,44470,SF,ShADadf
2026-02-11T10:49:00Z,10.20.44.33,44424,198.18.20.14,88,tcp,dns,14.177,3341,16507,SF,ShADadf
2026-02-11T08:55:00Z,10.20.44.22,43291,151.101.1.69,80,tcp,dns,18.216,2397,66832,SF,ShADadf
2026-02-11T07:38:00Z,10.20.44.22,56006,151.101.1.69,53,tcp,smb,9.796,2889,37022,SF,ShADadf
2026-02-11T08:37:00Z,10.20.44.22,58192,10.3.0.1,53,tcp,http,14.447,3003,55511,SF,ShADadf
2026-02-11T12:12:00Z,10.20.44.10,53097,13.107.42.12,53,tcp,http,14.954,104,34604,SF,ShADadf
2026-02-11T09:13:00Z,10.20.44.10,53071,52.96.20.4,445,tcp,smb,3.399,3204,77677,SF,ShADadf
2026-02-11T12:46:00Z,10.20.44.33,47365,10.3.0.1,445,tcp,ssl,3.087,1729,12318,SF,ShADadf
2026-02-11T09:11:00Z,10.20.44.22,43162,13.107.42.12,80,tcp,dns,11.401,4470,8455,SF,ShADadf
2026-02-11T08:25:00Z,10.20.44.22,55290,52.96.20.4,88,tcp,krb,16.736,1372,62363,SF,ShADadf
2026-02-11T12:04:00Z,10.20.51.9,40926,198.18.20.14,88,tcp,ssl,5.634,2990,1060,SF,ShADadf
2026-02-11T08:44:00Z,10.20.51.9,56289,198.18.20.14,88,tcp,dns,3.295,492,21104,SF,ShADadf
2026-02-11T12:13:00Z,10.20.51.9,55411,198.18.20.14,445,tcp,ssl,2.591,674,57535,SF,ShADadf
2026-02-11T10:00:00Z,10.20.44.10,40874,10.3.0.1,443,tcp,dns,19.030,1953,59936,SF,ShADadf
2026-02-11T12:12:00Z,10.20.44.10,58771,10.3.0.1,445,tcp,ssl,13.249,4411,29455,SF,ShADadf
2026-02-11T08:12:00Z,10.20.44.22,58635,52.96.20.4,88,tcp,krb,15.110,696,49281,SF,ShADadf
2026-02-11T07:24:00Z,10.20.51.9,40190,151.101.1.69,80,tcp,krb,9.407,1926,46594,SF,ShADadf
2026-02-11T10:02:00Z,10.20.44.10,47534,13.107.42.12,88,tcp,http,3.914,2926,7422,SF,ShADadf
2026-02-11T07:34:00Z,10.20.44.22,45242,10.3.0.1,88,tcp,dns,4.853,2402,42907,SF,ShADadf
2026-02-11T10:34:00Z,10.20.44.33,58813,151.101.1.69,80,tcp,ssl,3.434,2911,62856,SF,ShADadf
2026-02-11T11:19:00Z,10.20.44.22,55733,52.96.20.4,88,tcp,smb,17.043,2192,48599,SF,ShADadf
2026-02-11T11:13:00Z,10.20.44.10,44896,10.3.0.1,88,tcp,smb,11.679,4033,12399,SF,ShADadf
2026-02-11T12:25:00Z,10.20.51.9,47435,10.3.0.1,80,tcp,krb,17.602,1518,14602,SF,ShADadf
2026-02-11T12:25:00Z,10.20.44.10,54653,52.96.20.4,443,tcp,http,17.503,163,51074,SF,ShADadf
2026-02-11T07:42:00Z,10.20.44.33,45093,151.101.1.69,445,tcp,ssl,19.105,1608,23542,SF,ShADadf
2026-02-11T07:50:00Z,10.20.44.22,56563,10.3.0.1,443,tcp,dns,5.908,3646,56161,SF,ShADadf
2026-02-11T09:27:00Z,10.20.44.22,57392,10.3.0.1,88,tcp,dns,11.015,3160,13914,SF,ShADadf
2026-02-11T12:31:00Z,10.20.44.22,43097,198.18.20.14,53,tcp,krb,8.888,2750,62386,SF,ShADadf
2026-02-11T07:35:00Z,10.20.51.9,52870,151.101.1.69,445,tcp,http,7.140,2734,41107,SF,ShADadf
2026-02-11T12:04:00Z,10.20.44.22,43767,52.96.20.4,443,tcp,dns,16.529,2755,20840,SF,ShADadf
2026-02-11T07:46:00Z,10.20.44.10,54161,198.18.20.14,88,tcp,krb,19.628,4986,52938,SF,ShADadf
2026-02-11T09:13:00Z,10.20.44.22,45793,13.107.42.12,88,tcp,ssl,9.725,4867,2645,SF,ShADadf
2026-02-11T10:21:00Z,10.20.44.22,40909,10.3.0.1,445,tcp,dns,6.717,1193,32964,SF,ShADadf
2026-02-11T10:18:00Z,10.20.44.33,47020,198.18.20.14,88,tcp,krb,7.178,4224,20191,SF,ShADadf
2026-02-11T09:27:00Z,10.20.44.33,49532,151.101.1.69,445,tcp,dns,3.578,2465,33668,SF,ShADadf
2026-02-11T07:27:00Z,10.20.44.22,53675,198.18.20.14,53,tcp,smb,13.218,614,77761,SF,ShADadf
2026-02-11T10:41:00Z,10.20.51.9,49097,52.96.20.4,88,tcp,dns,15.501,544,78274,SF,ShADadf
2026-02-11T11:59:00Z,10.20.44.10,41810,10.3.0.1,80,tcp,ssl,14.698,2490,33984,SF,ShADadf
2026-02-11T09:05:00Z,10.20.44.22,42016,198.18.20.14,88,tcp,smb,9.385,1665,67862,SF,ShADadf
2026-02-11T07:15:00Z,10.20.51.9,49152,13.107.42.12,88,tcp,smb,2.882,414,1097,SF,ShADadf
2026-02-11T07:56:00Z,10.20.44.33,52633,13.107.42.12,445,tcp,krb,6.265,4586,49478,SF,ShADadf
2026-02-11T09:18:00Z,10.20.51.9,45090,151.101.1.69,443,tcp,http,9.479,2538,22816,SF,ShADadf
2026-02-11T11:55:00Z,10.20.51.9,42696,198.18.20.14,445,tcp,ssl,0.068,128,77869,SF,ShADadf
2026-02-11T12:44:00Z,10.20.44.22,44339,52.96.20.4,88,tcp,http,10.505,1873,40125,SF,ShADadf
2026-02-11T12:46:00Z,10.20.51.9,43297,10.3.0.1,53,tcp,dns,14.072,683,48581,SF,ShADadf
2026-02-11T09:04:00Z,10.20.44.22,49763,52.96.20.4,80,tcp,smb,0.383,789,30015,SF,ShADadf
2026-02-11T07:58:00Z,10.20.44.22,43226,198.18.20.14,443,tcp,dns,6.259,4606,71026,SF,ShADadf
2026-02-11T09:43:00Z,10.20.44.10,57644,52.96.20.4,53,tcp,ssl,15.048,1653,18357,SF,ShADadf
2026-02-11T11:57:00Z,10.20.44.22,55231,52.96.20.4,88,tcp,http,18.795,2331,1725,SF,ShADadf
2026-02-11T11:32:00Z,10.20.51.9,59659,10.3.0.1,53,tcp,smb,14.665,1114,38418,SF,ShADadf
2026-02-11T09:53:00Z,10.20.44.22,43392,198.18.20.14,53,tcp,dns,1.653,527,60110,SF,ShADadf
2026-02-11T10:31:00Z,10.20.44.10,43820,198.18.20.14,445,tcp,ssl,2.133,2414,50006,SF,ShADadf
2026-02-11T12:08:00Z,10.20.51.9,43642,10.3.0.1,443,tcp,ssl,2.275,3612,40848,SF,ShADadf
2026-02-11T09:38:00Z,10.20.44.33,56953,151.101.1.69,53,tcp,http,7.330,4403,64892,SF,ShADadf
2026-02-11T11:06:00Z,10.20.44.33,50373,13.107.42.12,53,tcp,smb,1.304,2307,18537,SF,ShADadf
2026-02-11T08:18:00Z,10.20.44.10,59227,198.18.20.14,53,tcp,smb,18.333,4091,64128,SF,ShADadf
2026-02-11T12:34:00Z,10.20.44.10,48839,151.101.1.69,445,tcp,dns,4.414,2319,64294,SF,ShADadf
2026-02-11T11:30:00Z,10.20.44.10,57980,10.3.0.1,80,tcp,ssl,10.305,4529,32693,SF,ShADadf
2026-02-11T08:11:00Z,10.20.51.9,51887,13.107.42.12,443,tcp,ssl,13.209,560,5037,SF,ShADadf
2026-02-11T07:17:00Z,10.20.51.9,48859,52.96.20.4,88,tcp,ssl,18.490,1300,20853,SF,ShADadf
2026-02-11T09:27:00Z,10.20.44.33,52808,52.96.20.4,445,tcp,http,6.194,3029,7020,SF,ShADadf
2026-02-11T08:34:00Z,10.20.44.10,45780,52.96.20.4,445,tcp,dns,7.215,4456,22375,SF,ShADadf
2026-02-11T12:40:00Z,10.20.51.9,55523,10.3.0.1,53,tcp,dns,16.395,795,28454,SF,ShADadf
2026-02-11T12:32:00Z,10.20.44.22,52270,151.101.1.69,443,tcp,dns,14.198,1233,59055,SF,ShADadf
2026-02-11T12:40:00Z,10.20.44.22,41631,10.3.0.1,445,tcp,http,16.911,715,30696,SF,ShADadf
2026-02-11T09:14:00Z,10.20.44.10,45836,151.101.1.69,53,tcp,smb,9.934,418,67674,SF,ShADadf
2026-02-11T10:37:00Z,10.20.44.22,57983,13.107.42.12,53,tcp,krb,4.811,1695,69423,SF,ShADadf
2026-02-11T08:42:00Z,10.20.44.33,40741,10.3.0.1,53,tcp,dns,9.751,4485,67746,SF,ShADadf
2026-02-11T07:17:00Z,10.20.44.10,49408,198.18.20.14,80,tcp,ssl,1.476,3319,64177,SF,ShADadf
2026-02-11T12:07:00Z,10.20.44.10,58671,13.107.42.12,80,tcp,krb,19.182,1763,4593,SF,ShADadf
2026-02-11T11:29:00Z,10.20.44.33,53680,151.101.1.69,443,tcp,ssl,3.060,433,28451,SF,ShADadf
2026-02-11T12:54:00Z,10.20.44.22,45087,52.96.20.4,443,tcp,http,15.970,2289,54076,SF,ShADadf
2026-02-11T11:46:00Z,10.20.44.10,52452,10.3.0.1,443,tcp,krb,18.654,195,32627,SF,ShADadf
2026-02-11T11:57:00Z,10.20.44.22,44936,13.107.42.12,443,tcp,http,17.034,2529,17113,SF,ShADadf
2026-02-11T10:59:00Z,10.20.44.10,45948,151.101.1.69,445,tcp,krb,17.538,455,77908,SF,ShADadf
2026-02-11T08:25:00Z,10.20.44.10,53207,198.18.20.14,445,tcp,smb,9.439,322,28650,SF,ShADadf
2026-02-11T11:07:00Z,10.20.44.10,46466,151.101.1.69,445,tcp,dns,19.075,2271,25402,SF,ShADadf
2026-02-11T12:00:00Z,10.20.44.10,59269,52.96.20.4,88,tcp,krb,0.500,1795,54856,SF,ShADadf
2026-02-11T10:08:00Z,10.20.44.22,59896,52.96.20.4,445,tcp,http,14.783,1521,52136,SF,ShADadf
2026-02-11T11:04:00Z,10.20.44.10,53733,198.18.20.14,445,tcp,smb,15.472,4544,38312,SF,ShADadf
2026-02-11T09:55:00Z,10.20.44.33,59394,10.3.0.1,53,tcp,smb,14.751,2522,51370,SF,ShADadf
2026-02-11T07:44:00Z,10.20.51.9,43872,10.3.0.1,88,tcp,krb,3.189,4952,34708,SF,ShADadf
2026-02-11T12:52:00Z,10.20.44.33,49511,10.3.0.1,53,tcp,ssl,13.707,2583,26902,SF,ShADadf
2026-02-11T09:43:00Z,10.20.44.22,55954,151.101.1.69,445,tcp,http,1.793,4510,39406,SF,ShADadf
2026-02-11T08:02:00Z,10.20.51.9,46894,151.101.1.69,88,tcp,dns,0.203,700,54195,SF,ShADadf
2026-02-11T12:58:00Z,10.20.44.22,50395,52.96.20.4,88,tcp,krb,7.790,892,21163,SF,ShADadf
2026-02-11T10:47:00Z,10.20.44.10,50404,10.3.0.1,53,tcp,smb,8.443,3169,34106,SF,ShADadf
2026-02-11T09:37:00Z,10.20.51.9,53218,10.3.0.1,443,tcp,krb,13.690,1408,30618,SF,ShADadf
2026-02-11T07:42:00Z,10.20.44.33,54557,13.107.42.12,445,tcp,smb,6.468,279,58645,SF,ShADadf
2026-02-11T10:38:00Z,10.20.44.22,46513,151.101.1.69,88,tcp,smb,3.943,250,56760,SF,ShADadf
2026-02-11T12:38:00Z,10.20.44.10,53114,151.101.1.69,88,tcp,smb,1.514,464,11018,SF,ShADadf
2026-02-11T07:41:00Z,10.20.44.33,52647,52.96.20.4,88,tcp,ssl,10.210,3160,42572,SF,ShADadf
2026-02-11T08:46:00Z,10.20.44.33,56676,151.101.1.69,53,tcp,dns,15.055,700,26923,SF,ShADadf
2026-02-11T10:29:00Z,10.20.51.9,57287,52.96.20.4,88,tcp,http,0.566,3581,5324,SF,ShADadf
2026-02-11T10:24:00Z,10.20.44.10,56831,198.18.20.14,443,tcp,dns,10.327,275,64716,SF,ShADadf
2026-02-11T10:58:00Z,10.20.44.22,50394,151.101.1.69,53,tcp,dns,0.174,741,78008,SF,ShADadf
2026-02-11T11:08:00Z,10.20.44.10,40002,13.107.42.12,53,tcp,smb,2.036,4455,47415,SF,ShADadf
